,pindex,1,2,3,4,5
847,827,nickit,Nickit,クスネ,Kusune,Kusune
848,828,thievul,Thievul,フォクスライ,Fokusurai,Foxly
849,829,gossifleur,Gossifleur,ヒメンカ,Himenka,Himenka
850,830,eldegoss,Eldegoss,ワタシラガ,Watashiraga,Watashiraga
851,831,wooloo,Wooloo,ウールー,Ūrū,Wooluu
852,832,dubwool,Dubwool,バイウールー,Baiūrū,Baiwooluu
853,833,chewtle,Chewtle,カムカメ,Kamukame,Kamukame
854,834,drednaw,Drednaw,カジリガメ,Kajirigame,Kajirigame
855,835,yamper,Yamper,ワンパチ,Wanpachi,Wanpachi
856,836,boltund,Boltund,パルスワン,Parusuwan,Pulsewan
857,837,rolycoly,Rolycoly,タンドン,Tandon,Tandon
858,838,carkol,Carkol,トロッゴン,Toroggon,Toroggon
859,839,coalossal,Coalossal,セキタンザン,Sekitanzan,Sekitanzan
860,840,applin,Applin,カジッチュ,Kajitchu,Kajicchu
861,841,flapple,Flapple,アップリュー,Appuryū,Appryu
862,842,appletun,Appletun,タルップル,Taruppuru,Tarupple
863,843,silicobra,Silicobra,スナヘビ,Sunahebi,Sunahebi
864,844,sandaconda,Sandaconda,サダイジャ,Sadaija,Sadaija
865,845,cramorant,Cramorant,ウッウ,U'u,Uu
866,846,arrokuda,Arrokuda,サシカマス,Sashikamasu,Sasikamasu
867,847,barraskewda,Barraskewda,カマスジョー,Kamasujō,Kamasujaw
868,848,toxel,Toxel,エレズン,Erezun,Eleson
869,849,toxtricity,Toxtricity,ストリンダー,Sutorindā,Strinder
870,850,sizzlipede,Sizzlipede,ヤクデ,Yakude,Yakude
871,851,centiskorch,Centiskorch,マルヤクデ,Maruyakude,Maruyakude
872,852,clobbopus,Clobbopus,タタッコ,Tatakko,Tatakko
873,853,grapploct,Grapploct,オトスパス,Otosupasu,Otosupus
874,854,sinistea,Sinistea,ヤバチャ,Yabacha,Yabacha
875,855,polteageist,Polteageist,ポットデス,Pottodesu,Potdeath
876,856,hatenna,Hatenna,ミブリム,Miburimu,Mibrim
877,857,hattrem,Hattrem,テブリム,Teburimu,Tebrim
878,858,hatterene,Hatterene,ブリムオン,Burimuon,Brimuon
879,859,impidimp,Impidimp,ベロバー,Berobā,Beroba
880,860,morgrem,Morgrem,ギモー,Gimō,Gimoh
881,861,grimmsnarl,Grimmsnarl,オーロンゲ,Ōronge,Ohlonge
882,862,obstagoon,Obstagoon,タチフサグマ,Tachifusaguma,Tachifusaguma
883,863,perrserker,Perrserker,ニャイキング,Nyaikingu,Nyaiking
884,864,cursola,Cursola,サニゴーン,Sanigōn,Sunigoon
885,865,sirfetch'd,Sirfetch'd,ネギガナイト,Negiganaito,Negigaknight
886,866,mr. rime,Mr. Rime,バリコオル,Barikōru,Barrikohru
887,867,runerigus,Runerigus,デスバーン,Desubān,Deathbarn
888,868,milcery,Milcery,マホミル,Mahomiru,Mahomil
889,869,alcremie,Alcremie,マホイップ,Mahoippu,Mawhip
890,870,falinks,Falinks,タイレーツ,Tairētsu,Tairetsu
891,871,pincurchin,Pincurchin,バチンウニ,Bachin'uni,Bachinuni
892,872,snom,Snom,ユキハミ,Yukihami,Yukihami
893,873,frosmoth,Frosmoth,モスノウ,Mosunō,Mothnow
894,874,stonjourner,Stonjourner,イシヘンジン,Ishihenjin,Ishihengin
895,875,eiscue,Eiscue,コオリッポ,Kōrippo,Korippo
896,876,indeedee,Indeedee,イエッサン,Iessan,Yessan
897,877,morpeko,Morpeko,モルペコ,Morupeko,Morpeko
898,878,cufant,Cufant,ゾウドウ,Zōdō,Zoudou
899,879,copperajah,Copperajah,ダイオウドウ,Daiōdō,Daioudou
900,880,dracozolt,Dracozolt,パッチラゴン,Patchiragon,Patchiragon
901,881,arctozolt,Arctozolt,パッチルドン,Patchirudon,Patchilldon
902,882,dracovish,Dracovish,ウオノラゴン,Uonoragon,Uonoragon
903,883,arctovish,Arctovish,ウオチルドン,Uochirudon,Uochilldon
904,884,duraludon,Duraludon,ジュラルドン,Jurarudon,Duraludon
905,885,dreepy,Dreepy,ドラメシヤ,Dorameshiya,Dorameshiya
906,886,drakloak,Drakloak,ドロンチ,Doronchi,Doronch
907,887,dragapult,Dragapult,ドラパルト,Doraparuto,Dorapult
908,888,zacian,Zacian,ザシアン,Zashian,Zacian
909,889,zamazenta,Zamazenta,ザマゼンタ,Zamazenta,Zamazenta
910,890,eternatus,Eternatus,ムゲンダイナ,Mugendaina,Mugendina
911,891,kubfu,Kubfu,ダクマ,Dakuma,Dakuma
912,892,urshifu,Urshifu,ウーラオス,Ūraosu,Wulaosu
913,893,zarude,Zarude,ザルード,Zarūdo,Zarude
914,894,regieleki,Regieleki,レジエレキ,Rejiereki,Regiereki
915,895,regidrago,Regidrago,レジドラゴ,Rejidorago,Regidrago
916,896,glastrier,Glastrier,ブリザポス,Burizaposu,Blizzapos
917,897,spectrier,Spectrier,レイスポス,Reisuposu,Wraithpos
918,898,calyrex,Calyrex,バドレックス,Badorekkusu,Budrex
